source_path,start_frame,end_frame,new_name,name,style1,style2
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,0,300,000000.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,150,450,000001.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,300,600,000002.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,450,750,000003.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,600,900,000004.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,750,1050,000005.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,900,1200,000006.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,1050,1350,000007.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,1200,1500,000008.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,1350,1650,000009.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,1500,1800,000010.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,1650,1950,000011.npy,feedback,Street,Jazz
/home/ripemangobox/Coding/Github/Motion/HumanML3D-main/fd_pose_data_checked/finedance/1/001.npy,1800,2100,000012.npy,feedback,Street,Jazz
